text,label
The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,1
Would you email me with any points/incidents you especially want me to be aware of?  Do you think Jimbo will be willing to pass this to the arbitration committee?,1
"By changing ''Category:New Zealand Mu0101ori people'' to ''Category:New Zealand Mu0101ori rugby union team players'' for many Kiwi rugby players -- such as <url>, <url> and <url> etc -- you have removed many Mu0101ori people from the only category that collates them together.  Do you want to fix?",0
"When someone tags articles using non-existent criteria, there's no way the articles should be deleted. The deleting admin has restored Reviewmageddon now, so it seems it's sorted out?",0
Does that mean all the realiable sources are incorrect too? Was the e-mail from a reliable source?,0
"In the piece <url> it there's mention of being listed as national historic site, but doesn'' appear to be listed on Hudson or Essex. Any ideas?",0
Thank you for closing out this debate.  Can you please restore the history for GFDL purposes?,1
Is the new draft at <url> OK with you? Do you have any comments or suggestions?,1
Yes. What about ''Q''&times;''Q'' with the L<sup>1</sup> norm?,0
I am confused as to <url> where it claism you moved it from <url> and it is currently added to <url>.  The rfcn had been previously closed as allow?,0
Thank you for your kind comment.   Do you have a suggestion where the portals should be placed in the article?,1
I was actually going to try to make it work in Knoppix. Do you know if that works?,0
"I've deleted the diagram from the <url> article because, as Curtis Clark points out in <url>, the diagram does not represent the results of the reference it purports to represent. Can't we reproduce an actual diagram from a published reference as ""fair use"" as long as we properly label & attribute it?",0
Force vector and displacement vector is a bit wonky and way above my head in mathematical theory but I wonu2019t disagree. Can you link the two to another article?,0
"I create <url>, and then I would click ""Move"" on the top of the page I want to merge (for example <url>? Is that how you do it?",0
I've heard about the controversy. What's your take on it?,0
"An issue has been raised at <url> about this article, which you created. Maybe you can clear up the confusion?",0
(We need to be IM-ing or something.) What is your opinion of spin-off articles?,0
"Instead of deletion, I'm considering simply redirecting Ponystars to <url>. Any objections?",1
It looks like you have done considerable work on <url>.  Could you add at least some references to the article in keeping with <url>?,0
Basta colla tua grecofilia tendenzionista! Ai capito bene?,0
Also I noticed you made new Europe and USA maps for this and <url>. Do you think it would be good to have a world map for <url>?,1
"In an article like <url>, I think it would be better if you based the content on secondary sources rather than articles that you have found in the ''BMJ'''s online archive. Could I persuade you to discuss your additions on <url>?",0
"Ok, I accept your claims, although I prefer the official names. Do you have MSN Messenger?",0
"Hi, I noted that you removed the caption of the image of the estate of Rozhdestveno that indicated that ""Nabokov inherited the <url>- designed estate ""Rozhestveno"" in 1916.""   The picture had been taken by User:Alexey Lavrov attesting that it was VN's house, and VN describes (p72) that he inherited the house in 1916, upon the death of his uncle Ruka. Can you please explain where you see the problem with the caption that you had to remove it?",0
"I am the uploader of the hubble pictures.  What do I put for the author, description, and the other information?",0
"I removed a few obvious links on <url>, but wasn't sure about some of the others (sparknotes, paperstarter, etc) and couldn't find anything yea or nay on their use...if you have a few spare minutes (ha!), could you take a look?",1
"Alternatively, maybe the second column could be '''Country of origin''' and Rosen could simply be denoted USA/Poland, while Pillsbury would be USA/USA, without his US State being mentioned - it would be less confusing I think. Any thoughts?",1
I am surprise at how often legitimate unblock requests appear at <url>.  Have you been watching that page?,0
Thank you for flagging my attention. Have you also flagged the attention of the other editors on this article who are deleting long-standing content that they are also approaching 3R?,0
No worries. Can you take another look at the nom?,1
"Hey ! There is a little problem on that image you uploaded from Lambiek : Caran d'Ache is supposed to be 2 years old in 1860, but his ''moustache'' and tallness let me think he is not so young... Do you know where to find the real date of the picture ?",0
"No answer. Do you want to take it to ANI, or should I?",0
I am very concerned with T2. Do you have any ideas on how to stop it from being implimented?,0
"My bot finally got past the connection errors I've been getting and spit out the largest 4,000 articles in sorted order for this. Would you like to take a short break while I replace the first page with them and manually mark all of the already-checked ones as done?",0
Sounds good. Could you drop Fritzpoll a note?,1
Before I prod this article. Do you want to save it by adding some independent citations to it to say why it's important independently of UNE?,0
"Thanks - does it actually make any difference in the rendered article whether <person> or <person> is used to link for a category? Obviously the latter allows easier entry (one less parameter) but I can't see that it makes any functional difference, once the template processes the parameters?",0
"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",1
Hate to be a bother... but need help with getting the bot running? Anything I can do as a non programmer?,1
"I see <url> some <person> tags to the <url> page. Is there something in particular you feel needs citation, or did the article just look generally reference-sparse?",0
"Any thoughts on what we should do with this? Delete it as a duplicate, or copy to Commons and rename?",1
<url> is fooling around with the Rubinstein and Horowitz articles again.  Is there a way to get him banned?,0
Just saw your edit on <url>. Could you tell me how does Croatian Glagolitic differ from other Glagolitics?,0
"Did make me smile....a dreamtime legend of a tiger in WA of all places. Seems a long way to walk, even when there was a land bridge ?",0
Hi. I stumbled upon your user page and was wondering if you could offer any tips for creating locator maps... where do you get the 'base' map and what program do you use to fill in the colours?,1
"I am looking for help improving the dermatology content on wikipedia. Would you be willing to help, or do you have any friends interested in derm that would be interested in helping?",1
You are able to read it here <url>. Wondering if this is worthy of sign post?,0
"Is it really a hoax?  While I don't doubt it in the least, could you provide other AfD voters with the evidence that led you to this conclusion?",0
I'm not sure which template loop you're talking about. I've flattened out the sub-templates at <person>: what is it that isn't working?,0
"You did a WPMILHIST assessment on this page a while ago; one of your comments was that the ""battle honours"" section was difficult to read, but weren't sure what to do about it. I've changed it to make it ( I think) more accessible; what do you think?",0
Oops.  Hmm...yeah...that sounds like a good idea...why not go ahead?,0
"Thats ok, as long as you verify the copyright as by sending an e-mail, or noting the license on the AEK webpage. That wont be a problem, will it?",0
"You are right, I apologize not doing so.  A different layout for the template could be interesting (perhaps even with names, or those delivered in person/by text) but I didn't quite see the logic in the way you had broken up the dates by 20 year blocks interspaced with 4 year blocks, right?",1
"You created this template, but it is only used in one article. Do you intend to expand its use, or is it not required?",0
"Yes, I'm delighted; result after a torturous few days! Um, can we add a Dali or Miro img?",1
"I'm a whole-hearted believer in AGF, but I also feel like I have a good nose for BS...  If what they said was true (''and it showed me what HE added in 1 box, and what I added in another box.'') then the edits they made would also have appeared in the edit log by another editor right before them, right?",0
Thanks for help! One more question: similar item at this address is a painting: http://sflib1.sfpl.org:82/record=b1035824~S0 Do I use the same tags?,1
"Uh, okay, the tabs for the pull-down menues, which were visible to me before, are no longer visible.  Is this because i screwed up a setting with Twinkle, or because my thinkpad is not displaying the entire page (preliminary fiddling around seems to eliminate this possibility)?",0
Wow does that mean we can cut <url> into a small stub :) ??,0
"I'm curious, are you stopping at characters? Or will you eventually move onto season pages and the main page itself?",0
I see you don't edit the heats from morning session. Will you be here for the finals ?,0
"And, btw, are you from Sevilla or its vicinity? How often do you visit Spain?",0
"Hi Arcadian, regarding 'your' article on <url>, I think the classification as ""hexose deoxy sugar"" is clearly wrong, it would be rather something like ""methyl ether of a branched heptose dideoxy sugar"" but I'm not sure how chemists usually refer to such substances. Could you shed light on the issure?",0
"I think I'm gonna request a free image from a Wikipedia biography subject by following <url>. I was wondering, if I'm planning to upload the image to Commons and the subject doesn't speak English to understand the e-mail, what should I do?",0
"I see you reverted another image move back to below the accompanying text. Your summary was ""add to discussion"" - can you explain?",0
Maybe the ip adress is blocked???,0
"The proper title of this image should be Eszopiclone.svg, since it depicts the S enantiomer. Could you change the title so I can upload an image of the racemic compound instead?",1
Thanks for the revert on <url>. Kinda curious how this blanking is always done by IPs that trace back to USAF installations isn't it?,1
Okay thanks. Any easy way to determine this?,1
What do you think? Do these subdivisions make sense?,0
Just saw your post to Gonzo.  Would you rather I withdrew the FLC then?,0
"I'm not sure if you've changed your opinion of the article's FAC status, but I think you have guided us in a ton of good ideas.  Have you changed your opinion?",0
"Thanks for the quick response. Would you have any suggestions on editors who would be interested in this field, or who might have experience with FA reviews?",1
You have listed it as no source but the author asserts own work. Could you please clarify this?,1
"Ta, can tell its cold here - I thought I was putting the message on your talk page and then realised it was indons, and the similar spurious etymology and anecdotal rubbish is at ratu bokos palace as well - had found a brilliant article on ratu boko in BKI but mislaid it anmd havent gone back.  There is a means by where well documented folklore can stay on an article page if the editor knows of the correct texts to qoute re folklore and spurious etymology or geneology in java - but if there is no acknowledgement of the academic/citable ways of exlaining I say that such addons are ad hoc and worth the chop and message to user 'this is an encyc' - watcha think?",0
"02:33, 25 February 2008 24.47.208.127 (Talk) (58,755 bytes) (u2192Suicide: added external link to Marlborough Gallery (Marlborough Fine Art)) (undo)-------is this the place for a link to this gallery site? I don't know yet how to think on such matters--will you have a look?",0
"Thanks! By the way, have you sent anything to Maggie since you received the email from the photographer?",1
Tell us more Mrg. Was he there?,0
"I moved '''Engine Arm Aqueduct''' to <url>, because there seemed to be much more content about the canal than the actual <url>. Does that seem reasonable, to you?",1
So the nomination was made by your sock. Could you explain why you choose to use a sock?,0
"I took a quick look and I'm not up to reading through it properly at the moment. :) I'll be back on here tomorrow morning and I'll have a look then, if that's OK?",1
"The placement of the hyphen in ""Ekur-huleni"" seems odd: as far as I know ""rh"" is one sound in Tsonga. Maybe ""Eku-rhuleni""?",0
"By revert all user contributions, do you mean '''all''' contributions? or just all contributions to one article?",0
True. What do you think about the notability of this particular article?,1
Good luck with the remaining time for your nomination. BTW: under what section on <url> do you think it should appear?,1
"Re your vote on motion 1, I don't currently have a mafia, to the best of my knowledge&mdash;but maybe it's not a bad idea. Shall I post a sign-up sheet?",0
"Your bot runs awfully fast. How come there isn't ""using AWB"" in the edit summary?",0
"Hi, I did post at <url> about the new Civil Ensign for Jersey but I've not had a reply yet. Any thoughts?",1
"I have voted in support of them restoring that picture of the Eye Gouge. I will also ask, why don't you vote in it?",0
"Qui tacet consentire videtur?  Do we have ""consensus"" on this yet, or is an RM required?",0
"Is this, perhaps, what the main article calls a ""Backshot wheel""? If so, should the article be renamed?",0
"The link to Sciencedude by Gary Robbins: Obituary of Joel Hedgpeth, which I believe you added, no longer includes the obituary.  Can you up-date the link?",0
This is one of those rare situations where I really have no idea what to say. Thanks?,0
My question about the truncation operation is to understand the generic algorithm for applying a ring (or un-ringing) a Dynkin node. What method (code) do you use to get the higher dimensions truncated based on the Coxeter Dynkin ringed nodes?,1
In general it isn't a great idea to block an IP address indefinitely although this one seems to be pretty static. Maybe reduce to 6 months rather than indefinite?,0
Delete away; the SVG's done :) How would you like it licensed? PD?,0
"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",1
Naughty naughty! :-) How goes things?,0
"I found <url>, which we don't have on en:wiki. Know anyone to do a proper translation?",0
"Hi there, I've reworded that paragraph a bit. Is it any clearer?",0
Claro mi madre es de El Salvador y tabien usan el vos. Cuales son los articulos que mas te interesan a vos?,0
I have left a comment on the Talk page under that section.  You haven't said much there - is there some place where you present your view with a little more detail?,1
"Hi, I see that you added the etymology section of the <url> article.  What does ""RatCE"" mean?",1
"How do you want to handle this? - <person> (which will take about a week), or should one of us just create the new category and transfer the articles, then you can <person> the old one?",0
"The quote about the ship ""being fit for nothing but the scrap yard"" does not appear on pages 26-27. Does it appear elsewhere in the book?",0
"Okay, I thought it was a mistake, but I wasn't sure.  Do you normally eat dinner after 8 PM?",0
"<url>. Congrats, or should I say good luck?",1
...Ronald Reagan is dead??,0
I see that you're already on the case! So is it to be Chesil or Cheesehill?,0
"Terms like ""elected"", ""responsible"" and ""designated points-of-contact"" imply some sort of delegated authority, I'd have thought.  By omission, is Hornoir saying that the delegate has authority over other aspects of the project?",0
"Forgive me if you've already done this, but...Could you post a list of the listing codes (such as DO, RN, etc.) for possibly non-listed properties with reference numbers?",1
"Hey, I saw you're comments on conman33 talk page. Have you met LJ?",0
"Okay, I desaturated it just a bit. What do you think of it now?",0
"I'm working on Debra <url>, but I'm worried at how I'm doing on the article and the ""title"" of the references. They are really long, like  ""Monthly Weather Review - Volume 107 - Atlantic Hurricane Season of 1978 - page 6"" - is that okay for a reference name?",0
It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,0
"I'm not too familiar with the google hits thing.  What does it mean when a site has this ""136k""?",0
See email first. Is this coming from somewhere or something particular?,0
It looks like the current version of <url> has been reworked since when you built it in July 2005 and references have never been provided.  Do you have any references you can add to the article?,1
Enjoyed the <url>s: the pdf is a fantastic external link! Who the hell was/is Bruce Patterson?,0
I see that there now. Do you want me to tie it all in or do you want to work on it?,1
I noticed that you are the major contributor to the articles. Mind if I nominate <url> at <url>?,1
Indeed. I trust you have already watchlisted this editor?,1
"Someone from the company that's the subject of this article has just posted on its talk page saying that there is a past version of the article that was acceptable, and that it was overwritten today by someone heavy-handed. Could you check whether there is an non-CSD-able version in the page history, and if so, restore it?",0
http://en.wikipedia.org/wiki/User:Mheart did the copyedit for the Japanese flag article and it was completed today. Is there anything else other than a copyedit that you need for this article?,1
I see we've been reading the same article on <url> years. Can you address my question on the talk page?,0
"He Colfer, just to let you know I changed the headings in name (I think we should avoid making diaries, but order based on activities), but kept (hopefully) the spirit of your changes in tact. How does it look to you?",0
"I might have just done a wrong revert on this art - what do you think?  Small cf Singapores  Changi maybe - but, ...?",0
"Sorry for the delay in responding. The problems seems to have calmed down at this point, is that correct?",1
As someone who has edited <url> you might be interested to see that it has been suggested for deletion (or some other form of bastardization).  Care to join in the discussion?,0
"Hello, thank you for adding interesting content to <url> <url>.  Are you able to provide <url> that will help the content meet our ""<url>"" standard?",1
"Do your sources have the dates of birth and death for <url>, which I just created? And, while I'm on the topic, any information regarding his playing career (if applicable)?",0
"Cool. ''(sound of ruffling wiki-pages back and forth)'' ""Looking forward"" on which talk page?",0
"Someone has Blocked the whole Opera mini Browser, as you know even i use my Mobile-Opera for editing. can you please help?",1
Hi. Did you read the e-mail I sent to you last week?,0
So I think it's better research one by one and decide which one is common name (use). What is your opinion ?,0
"Hi -i am editing the Juan Martin article with guitar technique information,and user addhoc is deleting all my writing. Please,what do i do about this?",1
"Hi, would you have any objection to renaming the sub-categories of <url> to look more like the articles which describe them - i.e. <url> -> <url> and so on?",1
I've made a start to putting the list in chart form at <url>.  Can you think of any other columns to add?,1
"Here's my question, just to be clear, is it possible for the owner to release the picture under a lower resolution for Wikipedia and at the same time retaining the ownership of the higher resolution version? If it is, can you help me process this image?",1
Thankyou.  So it's the norm to not show the day of the week in the lead-in?,0
Rxe9nyi leaves out the other gruesome details and adds the context of the fortress.  Do you know which details are in the most widespread and/or original version of this tale?,0
"Thanks for voting, even though you didn't support. Can you tell me where you thought I was too aggressive?",1
If only u2026 I am counting the days till my sentence is over. Is it time yet for another joke?,0
"I'm getting a little nervous that the FAC's not attracting much attention. You know FAC much better than I do, should I be worried yet?",0
Question: how do we move the content from the existing page to the new page?  How do we reference the space to the new page?,0
I am afraid I do not quite understand the content of your message. Can you explain a little bit more ?,0
I see you are a libertarian SULS alumnus. Did you ever have Professor Rounds?,0
"Perhaps an essay could clarify this? ""Be Assertive, not Aggressive"", or ""Act like a Professional""?",0
"Like most users with their articles screwed over by <url>'s new web facelift, I'm at a lost with <url> being dead. Can you help?",0
"As his son (the mayor) was also an MP, this doesn't seem an ideal disambiguation, though I'm not sure what would be better here!  Perhaps we need to resort to using dates?",0
Thanks for your response! How should we proceed ?,1
I'm not totally sure what you mean. Are you asking for a list of all featured articles on the English Wikipedia?,0
"Sorry, I completely missed the subsection title.  You think this is Merkey?",1
"Btw, I've issued a request for discussion on the Canadian Wikipedians' notice board about a dispute involving myself and another contributor on <url>. If you have a chance, could you look this over?",1
"Hmn, it appears I'm still blocked. Is there a lag?",0
"My concern about the article above still stands (re: notability). Now that it has been unmerged (against the AfD), will it be merged into the Begin articles as suggested, or will it have to be renominated?",0
"The Daily Mail has republished pages from the manifesto in full, (<url>) including that of his personal data. Is this the ethical jump you need to use the info on Wikipedia?",0
"Hey, I noticed you protected the article <url> from being recreated. Will you be able to reverse that If I recreate the article with sourced, factual, real world content?",0
"lol thanks. so, australia, huh?",1
<url> is currently an orphaned article. Can you find some articles to link to 'Christa Behmenburg''?,0
"I noticed that the A team article for Australia is at <url> instead of <url>.  Is that intentional, or something we should fix with a page move?",1
"Maybe there is a cellar to the mill, which would count towards the five. Can you get a photo or two and add to Commons?",0
I've got some. Want any of them?,0
"Thread about him on Pie & Bovril again, along with the idiocy that accompanies such. I see you semiprotected this before: fancy doing it again?",0
Hi! Do you know where the info comes about <url> concerning <url> and the other town?,0
I moved the numbered Gurkha regiments to u201cGu201d so theyu2019re all together; what do you think about doing the same for the other names with numbers in? (East Anglians for example)?,0
That's a good idea. What about army and corps HQs though?,1
"It is disputed among admins regarding the protection of userpages, although the policy says that users can have their user/user sub-pages (but not the talks) semi-protected if the user requests it. Are there other subpages of yours that you'd like protecting?",1
But that doesn't follow <url>.  Perhaps you can discuss the idea there?,0
I would never do that without consulting the blocking admin first (and probably I wouldn't either way). What do you say?,0
"Wikipedia has a strict rule about ''not'' simultaneously filing an article in both a parent category ''and'' a subcategory of the same parent. Could you please ''not'' add <url> to a category if it's already in <url>, <url> or a country-specific record labels category?",0
Leonard  would be an interesting article  ....I've just done a ref about him on RN - it looks a bit suspect though as I took his quote from a published Ezine article I wrote. Might not be legit?,0
"I'm sorry, I don't know what article you are talking about. Can you please provide the exact name?",1
"Hi, I can run a newsletter bot for you, WesleyDodds. Whatcha need me to deliver?",1
"Hi, Leandrod - my computer is slow, and your last two edits were made on top of vandalism that needed to be reverted - I can't tell if I reverted legit changes by you or not?  If I did, I'm sorry, can you have a look?",1
I believe that I tagged that right; it's got the full episode credentials and the TV station whatever notice. Anybody want to check on that for me?,0
Thanks for the redactions :). Is it worth getting a third opinion at the reliable sources noticeboard vis a vis the use of law textbooks for points of law?,1
Thanks.  Beer?,1
"Well, if John Paul II is the 262nd Pope & Benedict XVI is the 265th Pope. Who were the 263rd & 264th Pope?",0
"Regarding <url> and others.  You want me to speedy the wikipedia pages because the SVG tag was erroneously placed here rather than on commons, correct?",0
"OK, the 3920th is done. Any further thoughts?",0
"Here's a question for you: I have seen ""kvatrutafl"" identified as <url>. Is this accurate, and do you know any good sources of information about kvatrutafl (or about backgammon in medieval Iceland and Scandinavia)?",0
"Your request just slows down users, without changing what they see. Are you sure that is what you want?",0
Ah! Who said that Wikipedia administrators were not romantics?,0
"No, I'm not aware of that. Which two articles?",0
"Except for the one about the Chevrolet Monza bit at the middle which came from the Prototype book, was in fact come from the Brumos website, but the last time I read that was back in February 2001. Also is with the referencing, the page is now a total mess, is there a way that could be sorted out, I would be very thankful if you could help?",1
"In conclusion, I'm split. What do you think?",0
"I've read everything again, and I still think it's the right decision. What I'm confused about is if you claim that <url> does not care about capitalisation, how do you explain <url>, <url> and <url> (examples given on the talk page)?",0
"Actually, a further question. Would he be known then as the '''Lord Lowther''' by virtue of the barony, for that three-year period, and not as '''Viscount Lowther'''?",0
I note that you've edited since this was brought up here. Could you please respond?,1
